habilidade_id,nome,dominio,tipo_requisito,aula_unidade_proposta_id,plano_ensino,plano_pratica,plano_saida,fonte_candidata_id,lacuna_assumida
hab-ouv-004,"Reconhecimento de Tríades Maiores e Menores",ouvido,obrigatorio_com_prerequisito,aula-prop-014,"Apresentação teórica e demonstração do gesto motor de Reconhecimento de Tríades Maiores e Menores","Classifique 10 acordes ouvidos como 'Maior' (solar/aberto) ou 'Menor' (melancólico/fechado).","Mínimo de 9 acertos em 10 acordes apresentados",aula-mod-6-5,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-ouv-005,"Tirar Frase Melódica Curta de Ouvido",ouvido,obrigatorio_com_prerequisito,aula-prop-015,"Apresentação teórica e demonstração do gesto motor de Tirar Frase Melódica Curta de Ouvido","Ouça a melodia de 'Cai Cai Balão' e encontre as notas na 1ª e 2ª cordas do violão.","Reproduzir a melodia correta no violão após no máximo 5 tentativas de escuta",aula-kaiser-164-7-cai-cai-balao,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-lei-001,"Identificação das Cordas Soltas e Cifras Básicas",leitura,obrigatorio_fundamental,aula-prop-002,"Apresentação teórica e demonstração do gesto motor de Identificação das Cordas Soltas e Cifras Básicas","Nomeie rapidamente a afinação: E, A, D, G, B, E e traduza C, Dm, Em, G, Am.","Reconhecimento imediato (<3 segundos por acorde) das notas fundamentais e cifras",aula-mod-1-7,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-lei-002,"Leitura de Tablatura em Primeira Posição",leitura,obrigatorio_com_prerequisito,aula-prop-015,"Apresentação teórica e demonstração do gesto motor de Leitura de Tablatura em Primeira Posição","Toque o trecho tabulado identificando corda 1 (linha superior) e corda 6 (linha inferior).","Tocar as notas indicadas na tablatura no ritmo proposto sem erros de corda invertida",aula-mod-2-26,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-lei-003,"Leitura de Partitura Musical (Clave de Sol na 1ª Posição)",leitura,obrigatorio_com_prerequisito,aula-prop-017,"Apresentação teórica e demonstração do gesto motor de Leitura de Partitura Musical (Clave de Sol na 1ª Posição)","Solfeje o nome das notas da Partitura nº 1 antes de tocar no violão.","Execução contínua de 8 compassos com alturas e durações corretas",aula-kaiser-124-3-partituras-faceis-para-iniciantes,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-tec-001,"Postura Ergonômica e Apoios do Violão",tecnica,obrigatorio_fundamental,aula-prop-001,"Apresentação teórica e demonstração do gesto motor de Postura Ergonômica e Apoios do Violão","Ajuste o violão, toque as cordas da 6ª à 1ª e solte a mão esquerda para verificar estabilidade.","Tocar cordas soltas durante 3 minutos sem elevação do ombro nem flexão forçada do punho",aula-mod-1-4,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-tec-002,"Toque da Mão Direita com Polegar e Dedos Indicador/Médio",tecnica,obrigatorio_com_prerequisito,aula-prop-003,"Apresentação teórica e demonstração do gesto motor de Toque da Mão Direita com Polegar e Dedos Indicador/Médio","Toque a sequência p-i-m-i nas cordas 4, 3, 2, 3 mantendo volume uniforme.","Sequência de 12 toques sem ruído de unha rasgando ou som abafado",aula-mod-1-5,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-tec-003,"Troca Mecânica Fluente de Acordes (Dedo Guia / Pivô)",tecnica,obrigatorio_com_prerequisito,aula-prop-005,"Apresentação teórica e demonstração do gesto motor de Troca Mecânica Fluente de Acordes (Dedo Guia / Pivô)","Execute 10 trocas entre A e D contando 4 tempos para cada acorde no metrônomo.","8 trocas consecutivas em tempo estrito sem interrupção do som a 60 BPM",aula-mod-1-10,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-tec-004,"Dedilhado Básico p-i-m-a (Arpejos Simples)",tecnica,obrigatorio_com_prerequisito,aula-prop-020,"Apresentação teórica e demonstração do gesto motor de Dedilhado Básico p-i-m-a (Arpejos Simples)","Arpeje o acorde de Em em p-i-m-a mantendo cada corda soando até o final do compasso.","4 ciclos completos do dedilhado com som límpido em cada corda",aula-kaiser-322-15-15-como-fazer-dedilhados,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-tec-005,"Montagem de Pestana Mecânica com Alavanca",tecnica,obrigatorio_com_prerequisito,aula-prop-018,"Apresentação teórica e demonstração do gesto motor de Montagem de Pestana Mecânica com Alavanca","Monte a pestana na 5ª casa (Lá), toque corda por corda e depois mova para a 1ª casa (Fá).","Todas as 6 cordas (ou 5 no Bm) soando com clareza sem chiado e sem dor na mão",aula-mod-3-23,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-aco-001,"Acompanhamento de Repertório com Acordes Abertos",acompanhamento,obrigatorio_com_prerequisito,aula-prop-007,"Apresentação teórica e demonstração do gesto motor de Acompanhamento de Repertório com Acordes Abertos","Acompanhe a sequência C - G - Am - F (ou versão simplificada sem pestana) a 60 BPM.","Executar a canção do início ao fim sem pausas involuntárias entre as trocas de acordes",aula-mod-1-19,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-aco-002,"Condução de Baixos nos Acordes (Baixo Alternado / Inversões)",acompanhamento,obrigatorio_com_prerequisito,aula-prop-021,"Apresentação teórica e demonstração do gesto motor de Condução de Baixos nos Acordes (Baixo Alternado / Inversões)","Toque o acorde de C alternando o baixo entre a 5ª corda (Dó) e a 6ª corda (Sol).","Destacar claramente o bordão com o polegar sem interromper o som do restante do acorde",aula-mod-7-1,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-har-001,"Compreensão e Aplicação do Campo Harmônico Maior",harmonia,obrigatorio_com_prerequisito,aula-prop-019,"Apresentação teórica e demonstração do gesto motor de Compreensão e Aplicação do Campo Harmônico Maior","Monte a sequência de acordes C - Am - Dm - G7 explicando a função de cada acorde.","Tocar a cadência I - vi - ii - V - I identificando as funções tônica, subdominante e dominante",aula-mod-4-37,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-har-002,"Sistema CAGED e Formatos Móveis de Acordes",harmonia,obrigatorio_com_prerequisito,aula-prop-028,"Apresentação teórica e demonstração do gesto motor de Sistema CAGED e Formatos Móveis de Acordes","Toque o acorde de Mi Maior usando o modelo aberto de E, o modelo de C na 4ª casa e o modelo de A na 7ª casa.","Tocar os três modelos nomeando a tônica e a terça em cada região",aula-mod-3-9,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-sol-001,"Melodia com Baixo Simultâneo (Textura Polifônica a Duas Vozes)",solo/arranjo,obrigatorio_com_prerequisito,aula-prop-025,"Apresentação teórica e demonstração do gesto motor de Melodia com Baixo Simultâneo (Textura Polifônica a Duas Vozes)","Toque os primeiros 4 compassos da Pequena Valsa garantindo que o baixo soe no tempo 1.","Execução de 8 compassos com melodia destacada em volume superior ao baixo",aula-kaiser-137-10-pequena-valsa-ferdinando-carulli-viol,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-sol-002,"Arranjo Fingerstyle Completo (Melodia, Baixo e Harmonia)",solo/arranjo,obrigatorio_com_prerequisito,aula-prop-031,"Apresentação teórica e demonstração do gesto motor de Arranjo Fingerstyle Completo (Melodia, Baixo e Harmonia)","Execute a seção A de Saudades de Márcia de Baden Powell com clareza instrumental.","Performance completa do arranjo sem quedas no andamento e com dinâmica expressiva",aula-kaiser-156-28-saudades-de-marcia-baden-powell,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-exp-001,"Dinâmica e Fraseado Expressivo",expressao/criacao,obrigatorio_com_prerequisito,aula-prop-024,"Apresentação teórica e demonstração do gesto motor de Dinâmica e Fraseado Expressivo","Toque uma frase simples alternando toques suaves (p) e fortes (f) mantendo o mesmo andamento.","Executar 8 compassos demonstrando contraste auditivo perceptível entre seções suaves e acentuadas",aula-kaiser-36-4-aula-da-levada-1-exercicio-2-batida-co,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-exp-002,"Variação de Levada e Ornamentação Rítmica",expressao/criacao,obrigatorio_com_prerequisito,aula-prop-010,"Apresentação teórica e demonstração do gesto motor de Variação de Levada e Ornamentação Rítmica","Toque 4 compassos de balada introduzindo uma síncopa ou toque percussivo no último tempo.","Sustentar 16 compassos variando o padrão rítmico no 4º e no 8º compasso sem hesitação no tempo 1",aula-kaiser-18-5-thumb-slap-batida-fingerstyle,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-exp-003,"Improvisação Melódica sobre Blues / I-IV-V",expressao/criacao,obrigatorio_com_prerequisito,aula-prop-033,"Apresentação teórica e demonstração do gesto motor de Improvisação Melódica sobre Blues / I-IV-V","Toque 3 frases distintas com a pentatônica menor resolvendo na tônica da base de blues.","Executar improvisação de 12 compassos resolvendo as frases nas notas do acorde da base",aula-kaiser-128-1-formatos-do-blues,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
