entradaOrigemId,arquivoId,aulaPropostaId,habilidadeId,destinoEditorialId,tipoRelacao,decisaoProvisoria,justificativa,nivelInspecao,evidenciaId,pendenciaId
aula-mod-1-16,arq-1374,aula-prop-012,hab-ouv-002,,recurso_complementar,fundir,"Aula de calibração auditiva com explicação conceitual e prática de ditado sensorial.",metadados_catalogo,evid-matriz-aula-prop-012-aula-mod-1-16,""
aula-mod-1-15,arq-1359,aula-prop-013,hab-ouv-003,,conteudo_principal,suplementar,"Separação expressa entre identificação auditiva e emissão vocal afinada.",legenda_indexada,evid-matriz-aula-prop-013-aula-mod-1-15,""
aula-mod-6-5,,aula-prop-014,hab-ouv-004,,conteudo_principal,manter_aula_individual,"Diferenciação auditiva da terça maior vs menor em contexto de acordes.",nao_inspecionado,evid-matriz-aula-prop-014-aula-mod-6-5,"sem_arquivos_locais; sem_link_remoto"
aula-kaiser-164-7-cai-cai-balao,arq-0548,aula-prop-015,hab-ouv-005,,conteudo_principal,manter_aula_individual,"Aplicação prática do ouvido relativo para encontrar notas no braço.",metadados_catalogo,evid-matriz-aula-prop-015-aula-kaiser-164-7-cai-cai-balao,""
aula-mod-2-26,arq-1652,aula-prop-016,hab-lei-002,,conteudo_principal,manter_aula_individual,"Notação prática espacial relacionando linha da pauta com corda do instrumento.",legenda_indexada,evid-matriz-aula-prop-016-aula-mod-2-26,""
aula-kaiser-124-3-partituras-faceis-para-iniciantes,arq-0415,aula-prop-017,hab-lei-003,,conteudo_principal,manter_aula_individual,"Aula de calibração de leitura notacional utilizando as 7 partituras PDF validadas.",metadados_catalogo,evid-matriz-aula-prop-017-aula-kaiser-124-3-partituras-faceis-para-iniciantes,""
aula-mod-3-23,arq-1762,aula-prop-018,hab-tec-005,,conteudo_principal,manter_aula_individual,"Técnica de alavanca para pestana sem apertar o polegar contra o braço.",legenda_indexada,evid-matriz-aula-prop-018-aula-mod-3-23,""
aula-mod-5-1,,aula-prop-018,hab-tec-005,,recurso_complementar,manter_aula_individual,"Técnica de alavanca para pestana sem apertar o polegar contra o braço.",nao_inspecionado,evid-matriz-aula-prop-018-aula-mod-5-1,"sem_arquivos_locais"
aula-mod-3-24,arq-1767,aula-prop-019,hab-har-001,,conteudo_principal,manter_aula_individual,"Introdução às tétrades e tensão harmônica essencial para MPB e Bossa.",legenda_indexada,evid-matriz-aula-prop-019-aula-mod-3-24,""
aula-mod-5-30,,aula-prop-020,hab-rit-005,,conteudo_principal,fundir,"Fusão da técnica mecânica de dedilhado com a síncopa brasileira característica.",nao_inspecionado,evid-matriz-aula-prop-020-aula-mod-5-30,"sem_arquivos_locais; sem_link_remoto"
aula-kaiser-1-1-batida-de-samba-e-bossa-nova,arq-0006,aula-prop-020,hab-rit-005,,recurso_complementar,fundir,"Fusão da técnica mecânica de dedilhado com a síncopa brasileira característica.",legenda_indexada,evid-matriz-aula-prop-020-aula-kaiser-1-1-batida-de-samba-e-bossa-nova,""
aula-mod-6-1,,aula-prop-021,hab-rit-005,,conteudo_principal,manter_aula_individual,"Aplicação da levada em repertório de Tom Jobim com condução de baixo.",nao_inspecionado,evid-matriz-aula-prop-021-aula-mod-6-1,"sem_arquivos_locais"
aula-kaiser-36-4-aula-da-levada-1-exercicio-2-batida-co,arq-0131,aula-prop-021,hab-rit-005,,recurso_complementar,manter_aula_individual,"Aplicação da levada em repertório de Tom Jobim com condução de baixo.",metadados_catalogo,evid-matriz-aula-prop-021-aula-kaiser-36-4-aula-da-levada-1-exercicio-2-batida-co,""
aula-mod-6-6,,aula-prop-022,hab-rit-006,,conteudo_principal,fundir,"Estudo do balanço do samba e acentuações percussivas no violão.",nao_inspecionado,evid-matriz-aula-prop-022-aula-mod-6-6,"sem_arquivos_locais; sem_link_remoto"
aula-kaiser-12-2-batida-de-choro,arq-0047,aula-prop-022,hab-rit-006,,recurso_complementar,fundir,"Estudo do balanço do samba e acentuações percussivas no violão.",legenda_indexada,evid-matriz-aula-prop-022-aula-kaiser-12-2-batida-de-choro,""
aula-kaiser-17-4-batida-de-baiao,arq-0067,aula-prop-023,hab-rit-006,,conteudo_principal,manter_aula_individual,"Ritmo brasileiro essencial com marcação de zabumba no polegar.",legenda_indexada,evid-matriz-aula-prop-023-aula-kaiser-17-4-batida-de-baiao,""
aula-kaiser-36-4-aula-da-levada-1-exercicio-2-batida-co,arq-0131,aula-prop-024,hab-rit-007,,conteudo_principal,manter_aula_individual,"Estudo dos padrões rítmicos percussivos e dinâmicos de Baden Powell.",metadados_catalogo,evid-matriz-aula-prop-024-aula-kaiser-36-4-aula-da-levada-1-exercicio-2-batida-co,""
aula-kaiser-172-14-berimbau-baden-powell-afro-samba,arq-0589,aula-prop-025,hab-rit-007,,conteudo_principal,manter_aula_individual,"Repertório mestre da escola violonística brasileira.",legenda_indexada,evid-matriz-aula-prop-025-aula-kaiser-172-14-berimbau-baden-powell-afro-samba,""
aula-mod-7-1,,aula-prop-026,hab-aco-002,,conteudo_principal,fundir,"Trabalho de independência de polegar e condução de baixarias melódicas.",nao_inspecionado,evid-matriz-aula-prop-026-aula-mod-7-1,"sem_arquivos_locais"
aula-kaiser-49-1-juntanto-todas-as-levadas-deixa,arq-0162,aula-prop-026,hab-aco-002,,recurso_complementar,fundir,"Trabalho de independência de polegar e condução de baixarias melódicas.",metadados_catalogo,evid-matriz-aula-prop-026-aula-kaiser-49-1-juntanto-todas-as-levadas-deixa,""
aula-mod-4-37,,aula-prop-027,hab-har-001,,conteudo_principal,fundir,"Mapeamento das famílias de acordes e funções de tônica, subdominante e dominante.",nao_inspecionado,evid-matriz-aula-prop-027-aula-mod-4-37,"sem_arquivos_locais; sem_link_remoto"
aula-mod-5-29,,aula-prop-027,hab-har-001,,recurso_complementar,fundir,"Mapeamento das famílias de acordes e funções de tônica, subdominante e dominante.",nao_inspecionado,evid-matriz-aula-prop-027-aula-mod-5-29,"sem_arquivos_locais; sem_link_remoto"
aula-mod-3-9,arq-1715,aula-prop-028,hab-har-002,,conteudo_principal,fundir,"Visualização panorâmica do braço conectando os 5 modelos fundamentais.",legenda_indexada,evid-matriz-aula-prop-028-aula-mod-3-9,""
aula-kaiser-305-4-o-metodo-esquecido-de-harmonia-popular,arq-1112,aula-prop-028,hab-har-002,,recurso_complementar,fundir,"Visualização panorâmica do braço conectando os 5 modelos fundamentais.",legenda_indexada,evid-matriz-aula-prop-028-aula-kaiser-305-4-o-metodo-esquecido-de-harmonia-popular,""
aula-kaiser-137-10-pequena-valsa-ferdinando-carulli-viol,arq-0462,aula-prop-029,hab-sol-001,,conteudo_principal,manter_aula_individual,"Aula de calibração de violão solo com melodia cantabile e baixo simultâneo.",metadados_catalogo,evid-matriz-aula-prop-029-aula-kaiser-137-10-pequena-valsa-ferdinando-carulli-viol,""
aula-kaiser-18-5-thumb-slap-batida-fingerstyle,arq-0073,aula-prop-030,hab-rit-004,,conteudo_principal,manter_aula_individual,"Aula de calibração de técnica percussiva de mão direita no contexto fingerstyle.",legenda_indexada,evid-matriz-aula-prop-030-aula-kaiser-18-5-thumb-slap-batida-fingerstyle,""
aula-kaiser-156-28-saudades-de-marcia-baden-powell,arq-0523,aula-prop-031,hab-sol-002,,conteudo_principal,manter_aula_individual,"Consolidação da independência a três camadas sonoras simultâneas.",metadados_catalogo,evid-matriz-aula-prop-031-aula-kaiser-156-28-saudades-de-marcia-baden-powell,""
aula-mod-8-1,arq-1980,aula-prop-032,hab-exp-001,,conteudo_principal,manter_aula_individual,"Refinamento interpretativo, controle de toque suave vs incisivo e rubato musical.",legenda_indexada,evid-matriz-aula-prop-032-aula-mod-8-1,""
aula-kaiser-128-1-formatos-do-blues,arq-0434,aula-prop-033,hab-exp-003,,conteudo_principal,fundir,"Criação autoral de solos e frases expressivas sobre estrutura de 12 compassos.",metadados_catalogo,evid-matriz-aula-prop-033-aula-kaiser-128-1-formatos-do-blues,""
aula-mod-8-15,arq-2000,aula-prop-033,hab-exp-003,,recurso_complementar,fundir,"Criação autoral de solos e frases expressivas sobre estrutura de 12 compassos.",legenda_indexada,evid-matriz-aula-prop-033-aula-mod-8-15,""
aula-mod-1-1,arq-1190,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-1-1,""
aula-mod-1-3,arq-1230,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-1-3,""
aula-mod-1-9,arq-1307,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-1-9,""
aula-kaiser-64-1-como-estudar-no-kaiserplay,arq-0194,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-64-1-como-estudar-no-kaiserplay,"apenas_documentacao_sem_midia; sem_link_remoto"
aula-kaiser-65-2-como-cancelar-a-sua-assinatura-e-pedir,arq-0195,,,dest-descarte-admin,destino_editorial_suporte,avaliar_descarte_administrativo,"Comunicado ou material de suporte da plataforma sem conteúdo instrumental.",metadados_catalogo,evid-fonte-aula-kaiser-65-2-como-cancelar-a-sua-assinatura-e-pedir,"apenas_documentacao_sem_midia; item_administrativo; sem_link_remoto"
aula-kaiser-316-1-1-vamos-sair-do-zero,arq-1145,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-316-1-1-vamos-sair-do-zero,""
aula-kaiser-317-10-10-o-que-e-um-acorde-aprenda-a-primei,arq-1147,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-317-10-10-o-que-e-um-acorde-aprenda-a-primei,""
aula-kaiser-318-11-11-como-ler-cifras-e-diagramas-aprend,arq-1152,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-318-11-11-como-ler-cifras-e-diagramas-aprend,""
aula-kaiser-319-12-12-dicas-para-fazer-acorde-de-pestana,arq-1154,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-319-12-12-dicas-para-fazer-acorde-de-pestana,""
aula-kaiser-320-13-13-como-fazer-batidas-com-a-mao-direi,arq-1156,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-320-13-13-como-fazer-batidas-com-a-mao-direi,""
aula-kaiser-321-14-14-como-combinar-batidas-com-acordes,arq-1158,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-321-14-14-como-combinar-batidas-com-acordes,""
aula-kaiser-322-15-15-como-fazer-dedilhados,arq-1162,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-kaiser-322-15-15-como-fazer-dedilhados,""
aula-kaiser-323-16-16-qual-caminho-seguir-agora,arq-1164,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-323-16-16-qual-caminho-seguir-agora,""
aula-kaiser-324-2-2-o-violao-conhecendo-o-instrumento,arq-1166,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-324-2-2-o-violao-conhecendo-o-instrumento,""
aula-kaiser-325-3-3-postura-como-segurar-o-violao-adequa,arq-1169,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-kaiser-325-3-3-postura-como-segurar-o-violao-adequa,""
aula-kaiser-326-4-4-exercicios-fundamentais,arq-1171,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-326-4-4-exercicios-fundamentais,""
aula-kaiser-327-5-5-teoria-musical-basica,arq-1173,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-327-5-5-teoria-musical-basica,""
aula-kaiser-328-6-6-como-ler-tablatura,arq-1175,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-328-6-6-como-ler-tablatura,""
aula-kaiser-329-7-7-aprenda-a-primeira-musica-brilha-bri,arq-1178,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-329-7-7-aprenda-a-primeira-musica-brilha-bri,""
aula-kaiser-330-8-8-escravos-de-jo,arq-1181,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-330-8-8-escravos-de-jo,""
aula-kaiser-331-9-9-parabens-pra-voce,arq-1184,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-kaiser-331-9-9-parabens-pra-voce,""
aula-mod-1-12,arq-1341,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-mod-1-12,""
aula-mod-1-18,arq-1393,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-1-18,""
aula-mod-2-38,arq-1692,,,dest-quiz-plataforma,destino_editorial_quiz,manter_como_quiz_opcional,"Questionário interativo nativo da plataforma Hotmart sem arquivos multimídia locais.",metadados_catalogo,evid-fonte-aula-mod-2-38,"quiz_plataforma"
aula-mod-2-1,,,,dest-aguardando-backup,destino_editorial_aguardando,aguardar_auditoria_remota,"Entrada sem arquivos no backup local; requer verificação remota no Google Drive.",nao_inspecionado,evid-fonte-aula-mod-2-1,"sem_arquivos_locais"
aula-mod-2-2,arq-1565,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-2,""
aula-mod-2-3,arq-1571,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-3,""
aula-mod-2-4,arq-1579,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-4,""
aula-mod-2-5,arq-1582,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-5,""
aula-mod-2-6,arq-1585,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-6,""
aula-mod-2-7,arq-1589,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-7,""
aula-mod-2-8,arq-1594,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-8,""
aula-mod-2-9,arq-1596,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-9,""
aula-mod-2-10,arq-1600,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-10,""
aula-mod-2-11,arq-1603,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-mod-2-11,""
aula-mod-2-12,arq-1605,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-12,""
aula-mod-3-4,arq-1698,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-3-4,""
aula-kaiser-117-1-principios-fundamentais-pra-evoluir,arq-0377,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-kaiser-117-1-principios-fundamentais-pra-evoluir,""
aula-kaiser-118-2-exercicios-de-mao-esquerda,arq-0381,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-kaiser-118-2-exercicios-de-mao-esquerda,""
aula-kaiser-119-3-exercicios-de-mao-direita,arq-0386,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-kaiser-119-3-exercicios-de-mao-direita,""
aula-kaiser-120-4-exercicios-de-ligados,arq-0389,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-kaiser-120-4-exercicios-de-ligados,""
aula-kaiser-121-5-como-estudar-melhor-o-video-definitivo,arq-0393,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-kaiser-121-5-como-estudar-melhor-o-video-definitivo,""
aula-mod-1-43,arq-1550,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-1-43,""
aula-mod-2-18,arq-1627,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-18,""
aula-mod-2-32,arq-1673,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-32,""
aula-mod-2-33,arq-1675,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-33,""
aula-mod-2-34,arq-1680,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-34,""
aula-mod-2-36,arq-1687,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-2-36,""
aula-mod-4-14,,,,dest-aguardando-backup,destino_editorial_aguardando,aguardar_auditoria_remota,"Entrada sem arquivos no backup local; requer verificação remota no Google Drive.",nao_inspecionado,evid-fonte-aula-mod-4-14,"sem_arquivos_locais; sem_link_remoto"
aula-mod-4-23,arq-1857,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-4-23,""
aula-mod-4-35,,,,dest-aguardando-backup,destino_editorial_aguardando,aguardar_auditoria_remota,"Entrada sem arquivos no backup local; requer verificação remota no Google Drive.",nao_inspecionado,evid-fonte-aula-mod-4-35,"sem_arquivos_locais; sem_link_remoto"
aula-mod-4-36,,,,dest-aguardando-backup,destino_editorial_aguardando,aguardar_auditoria_remota,"Entrada sem arquivos no backup local; requer verificação remota no Google Drive.",nao_inspecionado,evid-fonte-aula-mod-4-36,"sem_arquivos_locais; sem_link_remoto"
aula-mod-5-14,arq-1874,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",metadados_catalogo,evid-fonte-aula-mod-5-14,""
aula-mod-5-20,arq-1887,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-5-20,""
aula-mod-5-21,,,,dest-aguardando-backup,destino_editorial_aguardando,aguardar_auditoria_remota,"Entrada sem arquivos no backup local; requer verificação remota no Google Drive.",nao_inspecionado,evid-fonte-aula-mod-5-21,"sem_arquivos_locais; sem_link_remoto"
aula-mod-5-25,arq-1892,,,dest-expansao-curadoria,destino_editorial_expansao,alocar_em_lote_expansao,"Recurso preservado no acervo físico para detalhamento e curadoria na expansão curricular.",legenda_indexada,evid-fonte-aula-mod-5-25,""
aula-mod-6-14,,,,dest-aguardando-backup,destino_editorial_aguardando,aguardar_auditoria_remota,"Entrada sem arquivos no backup local; requer verificação remota no Google Drive.",nao_inspecionado,evid-fonte-aula-mod-6-14,"sem_arquivos_locais; sem_link_remoto"
aula-mod-6-19,,,,dest-aguardando-backup,destino_editorial_aguardando,aguardar_auditoria_remota,"Entrada sem arquivos no backup local; requer verificação remota no Google Drive.",nao_inspecionado,evid-fonte-aula-mod-6-19,"sem_arquivos_locais; sem_link_remoto"
aula-mod-6-24,,,,dest-aguardando-backup,destino_editorial_aguardando,aguardar_auditoria_remota,"Entrada sem arquivos no backup local; requer verificação remota no Google Drive.",nao_inspecionado,evid-fonte-aula-mod-6-24,"sem_arquivos_locais; sem_link_remoto"
