entradaOrigemId,arquivoId,aulaPropostaId,habilidadeId,tipoRelacao,decisaoProvisoria,justificativa,nivelInspecao,evidenciaId,pendenciaId
aula-kaiser-65-2-como-cancelar-a-sua-assinatura-e-pedir,arq-0195,DESCARTE_ADMINISTRATIVO,NENHUMA,fora_do_curriculo,avaliar_descarte_administrativo,"Item administrativo ou quiz nativo sem conteúdo instrumental",metadados_catalogo,evid-aula-kaiser-65-2-como-cancelar-a-sua-assinatura-e-pedir,"apenas_documentacao_sem_midia; item_administrativo; sem_link_remoto"
aula-kaiser-316-1-1-vamos-sair-do-zero,arq-1145,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-316-1-1-vamos-sair-do-zero,"nenhuma"
aula-kaiser-317-10-10-o-que-e-um-acorde-aprenda-a-primei,arq-1147,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-317-10-10-o-que-e-um-acorde-aprenda-a-primei,"nenhuma"
aula-kaiser-318-11-11-como-ler-cifras-e-diagramas-aprend,arq-1152,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-318-11-11-como-ler-cifras-e-diagramas-aprend,"nenhuma"
aula-kaiser-319-12-12-dicas-para-fazer-acorde-de-pestana,arq-1154,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-319-12-12-dicas-para-fazer-acorde-de-pestana,"nenhuma"
aula-kaiser-320-13-13-como-fazer-batidas-com-a-mao-direi,arq-1156,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-320-13-13-como-fazer-batidas-com-a-mao-direi,"nenhuma"
aula-kaiser-321-14-14-como-combinar-batidas-com-acordes,arq-1158,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-321-14-14-como-combinar-batidas-com-acordes,"nenhuma"
aula-kaiser-322-15-15-como-fazer-dedilhados,arq-1162,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-kaiser-322-15-15-como-fazer-dedilhados,"nenhuma"
aula-kaiser-323-16-16-qual-caminho-seguir-agora,arq-1164,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,revisao_apoio,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-323-16-16-qual-caminho-seguir-agora,"nenhuma"
aula-kaiser-324-2-2-o-violao-conhecendo-o-instrumento,arq-1166,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-324-2-2-o-violao-conhecendo-o-instrumento,"nenhuma"
aula-kaiser-325-3-3-postura-como-segurar-o-violao-adequa,arq-1169,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-kaiser-325-3-3-postura-como-segurar-o-violao-adequa,"nenhuma"
aula-kaiser-326-4-4-exercicios-fundamentais,arq-1171,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-326-4-4-exercicios-fundamentais,"nenhuma"
aula-kaiser-327-5-5-teoria-musical-basica,arq-1173,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-327-5-5-teoria-musical-basica,"nenhuma"
aula-kaiser-328-6-6-como-ler-tablatura,arq-1175,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-328-6-6-como-ler-tablatura,"nenhuma"
aula-kaiser-329-7-7-aprenda-a-primeira-musica-brilha-bri,arq-1178,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-329-7-7-aprenda-a-primeira-musica-brilha-bri,"nenhuma"
aula-kaiser-330-8-8-escravos-de-jo,arq-1181,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-330-8-8-escravos-de-jo,"nenhuma"
aula-kaiser-331-9-9-parabens-pra-voce,arq-1184,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-331-9-9-parabens-pra-voce,"nenhuma"
aula-mod-1-11,arq-1331,aula-prop-005,hab-tec-003,recurso_complementar,fundir,"Integração do formato de A e D com o trabalho mecânico de fluência de transição.",metadados_catalogo,evid-aula-mod-1-11,"nenhuma"
aula-mod-1-12,arq-1341,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-mod-1-12,"nenhuma"
aula-mod-1-13,arq-1346,aula-prop-006,hab-tec-003,conteudo_principal,fundir,"Correção postural para toque limpo próximo ao traste acoplada aos formatos E e Em.",metadados_catalogo,evid-aula-mod-1-13,"nenhuma"
aula-mod-1-14,arq-1350,aula-prop-006,hab-tec-003,recurso_complementar,fundir,"Correção postural para toque limpo próximo ao traste acoplada aos formatos E e Em.",metadados_catalogo,evid-aula-mod-1-14,"nenhuma"
aula-mod-1-15,arq-1359,aula-prop-009,hab-ouv-002,conteudo_principal,fundir,"Aula de calibração auditiva com explicação conceitual e prática de ditado.",legenda_indexada,evid-aula-mod-1-15,"nenhuma"
aula-mod-1-16,arq-1374,aula-prop-009,hab-ouv-002,recurso_complementar,fundir,"Aula de calibração auditiva com explicação conceitual e prática de ditado.",metadados_catalogo,evid-aula-mod-1-16,"nenhuma"
aula-mod-1-17,arq-1380,aula-prop-007,hab-rit-003,conteudo_principal,manter_aula_individual,"Aula de calibração didática do domínio rítmico fundamental.",legenda_indexada,evid-aula-mod-1-17,"nenhuma"
aula-mod-1-18,arq-1393,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-1-18,"nenhuma"
aula-mod-1-19,arq-1400,aula-prop-008,hab-aco-001,conteudo_principal,fundir,"Aplicação direta da balada básica na progressão harmônica clássica.",legenda_indexada,evid-aula-mod-1-19,"nenhuma"
aula-mod-2-38,arq-1692,DESCARTE_ADMINISTRATIVO,NENHUMA,fora_do_curriculo,avaliar_descarte_administrativo,"Item administrativo ou quiz nativo sem conteúdo instrumental",metadados_catalogo,evid-aula-mod-2-38,"quiz_plataforma"
aula-mod-2-1,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-2-1,"sem_arquivos_locais"
aula-mod-2-2,arq-1565,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-2,"nenhuma"
aula-mod-2-3,arq-1571,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-3,"nenhuma"
aula-mod-2-4,arq-1579,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,integrar_aula,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-4,"nenhuma"
aula-mod-2-5,arq-1582,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,integrar_aula,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-5,"nenhuma"
aula-mod-2-6,arq-1585,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,integrar_aula,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-6,"nenhuma"
aula-mod-2-7,arq-1589,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,integrar_aula,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-7,"nenhuma"
aula-mod-2-8,arq-1594,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-8,"nenhuma"
aula-mod-2-9,arq-1596,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-9,"nenhuma"
aula-mod-2-10,arq-1600,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-10,"nenhuma"
aula-mod-2-11,arq-1603,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-mod-2-11,"nenhuma"
aula-mod-2-12,arq-1605,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-12,"nenhuma"
aula-mod-3-4,arq-1698,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-3-4,"nenhuma"
aula-kaiser-117-1-principios-fundamentais-pra-evoluir,arq-0377,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-kaiser-117-1-principios-fundamentais-pra-evoluir,"nenhuma"
aula-kaiser-118-2-exercicios-de-mao-esquerda,arq-0381,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-kaiser-118-2-exercicios-de-mao-esquerda,"nenhuma"
aula-kaiser-119-3-exercicios-de-mao-direita,arq-0386,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-kaiser-119-3-exercicios-de-mao-direita,"nenhuma"
aula-kaiser-120-4-exercicios-de-ligados,arq-0389,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-kaiser-120-4-exercicios-de-ligados,"nenhuma"
aula-kaiser-121-5-como-estudar-melhor-o-video-definitivo,arq-0393,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,revisao_apoio,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-kaiser-121-5-como-estudar-melhor-o-video-definitivo,"nenhuma"
aula-mod-1-43,arq-1550,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,integrar_aula,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-1-43,"nenhuma"
aula-mod-2-18,arq-1627,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,integrar_aula,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-18,"nenhuma"
aula-mod-2-32,arq-1673,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,integrar_aula,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-32,"nenhuma"
aula-mod-2-33,arq-1675,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,integrar_aula,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-33,"nenhuma"
aula-mod-2-34,arq-1680,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,integrar_aula,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-34,"nenhuma"
aula-mod-2-36,arq-1687,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,integrar_aula,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-2-36,"nenhuma"
aula-mod-4-14,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-4-14,"sem_arquivos_locais; sem_link_remoto"
aula-mod-4-23,arq-1857,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-4-23,"nenhuma"
aula-mod-4-35,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-4-35,"sem_arquivos_locais; sem_link_remoto"
aula-mod-4-36,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-4-36,"sem_arquivos_locais; sem_link_remoto"
aula-mod-4-37,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-4-37,"sem_arquivos_locais; sem_link_remoto"
aula-mod-5-14,arq-1874,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-mod-5-14,"nenhuma"
aula-mod-5-20,arq-1887,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-5-20,"nenhuma"
aula-mod-5-21,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-5-21,"sem_arquivos_locais; sem_link_remoto"
aula-mod-5-25,arq-1892,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-5-25,"nenhuma"
aula-mod-5-29,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-5-29,"sem_arquivos_locais; sem_link_remoto"
aula-mod-6-5,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-6-5,"sem_arquivos_locais; sem_link_remoto"
aula-mod-6-14,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-6-14,"sem_arquivos_locais; sem_link_remoto"
aula-mod-6-19,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-6-19,"sem_arquivos_locais; sem_link_remoto"
aula-mod-6-24,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-6-24,"sem_arquivos_locais; sem_link_remoto"
aula-mod-7-7,arq-1921,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-7-7,"nenhuma"
aula-mod-7-9,arq-1926,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-7-9,"nenhuma"
aula-mod-7-12,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-7-12,"sem_arquivos_locais; sem_link_remoto"
aula-mod-7-17,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-7-17,"sem_arquivos_locais; sem_link_remoto"
aula-mod-8-1,arq-1980,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,integrar_aula,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-8-1,"nenhuma"
aula-mod-8-13,arq-1996,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,revisao_apoio,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-8-13,"nenhuma"
aula-mod-8-16,arq-2002,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-8-16,"nenhuma"
aula-mod-8-18,arq-2007,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-8-18,"nenhuma"
aula-mod-9-14,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-9-14,"sem_arquivos_locais; sem_link_remoto"
aula-mod-9-16,arq-2060,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-9-16,"nenhuma"
aula-mod-9-17,arq-2062,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-9-17,"nenhuma"
aula-mod-9-18,,AGUARDANDO_MATERIAL,NENHUMA,fonte_pendente,aguardar_material,"Entrada sem arquivos no backup local",nao_inspecionado,evid-aula-mod-9-18,"sem_arquivos_locais; sem_link_remoto"
aula-kaiser-66-1-introducao-tirar-musicas-de-ouvido,arq-0197,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,revisao_apoio,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-66-1-introducao-tirar-musicas-de-ouvido,"nenhuma"
aula-kaiser-67-2-exercicios-de-percepcao-de-uma-nota,arq-0199,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-67-2-exercicios-de-percepcao-de-uma-nota,"nenhuma"
aula-kaiser-68-3-exercicios-de-percepcao-de-duas-notas,arq-0201,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-68-3-exercicios-de-percepcao-de-duas-notas,"nenhuma"
aula-kaiser-69-4-exercicios-de-percepcao-de-acordes,arq-0203,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-69-4-exercicios-de-percepcao-de-acordes,"nenhuma"
aula-kaiser-70-5-exemplo-aprendendo-de-ouvido-uma-canca,arq-0207,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-kaiser-70-5-exemplo-aprendendo-de-ouvido-uma-canca,"nenhuma"
aula-kaiser-71-6-exemplo-2-aprendendo-de-ouvido-uma-pec,arq-0210,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-71-6-exemplo-2-aprendendo-de-ouvido-uma-pec,"nenhuma"
aula-kaiser-72-7-programas-que-podem-ajudar,arq-0212,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-72-7-programas-que-podem-ajudar,"nenhuma"
aula-mod-1-20,arq-1407,aula-prop-008,hab-aco-001,recurso_complementar,fundir,"Aplicação direta da balada básica na progressão harmônica clássica.",legenda_indexada,evid-aula-mod-1-20,"nenhuma"
aula-mod-1-21,arq-1419,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,integrar_aula,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-1-21,"nenhuma"
aula-mod-1-22,arq-1434,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-1-22,"nenhuma"
aula-mod-1-23,arq-1441,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-1-23,"nenhuma"
aula-mod-1-24,arq-1449,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-mod-1-24,"nenhuma"
aula-mod-1-25,arq-1457,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-1-25,"nenhuma"
aula-mod-1-26,arq-1465,aula-prop-010,hab-lei-002,recurso_complementar,manter_aula_individual,"Aula de calibração de leitura utilizando as 7 partituras PDF validadas.",legenda_indexada,evid-aula-mod-1-26,"nenhuma"
aula-mod-1-27,arq-1484,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-1-27,"nenhuma"
aula-mod-1-28,arq-1496,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-1-28,"nenhuma"
